Município;Estado;Ano de Referência;FN220 - Despesa total com serviços de manejo de RSU (Antigo campo GE007);FN222 - Receita arrecadada com taxas e tarifas referentes à gestão e manejo de RSU (Antigo campo GE006);. ;DS_2017
Brasília;DF;2015;413.644.300,00;144.913.853,41;;0,35
Abadia de Goiás;GO;2015;482.969,42;;;0
Acreúna;GO;2015;641.905,00;;;0
Água Limpa;GO;2015;431.561,20;;;0
Águas Lindas de Goiás;GO;2015;2.883.062,96;1.948.015,52;;0,676
Alto Horizonte;GO;2015;1.452.851,84;;;0
Alto Paraíso de Goiás;GO;2015;547.347,33;;;0
Alvorada do Norte;GO;2015;301.408,00;;;0
Amaralina;GO;2015;329.273,10;;;0
Americano do Brasil;GO;2015;162.040,00;;;0
Amorinópolis;GO;2015;327.260,00;;;0
Anápolis;GO;2015;50.338.758,13;10.364.830,17;;0,206
Anicuns;GO;2015;894.000,00;;;0
Aragoiânia;GO;2015;329.273,10;;;0
Araguapaz;GO;2015;235.000,00;;;0
Arenópolis;GO;2015;47.500,00;;;0
Aruanã;GO;2015;1.045.713,35;;;0
Barro Alto;GO;2015;1.096.915,88;;;0
Bela Vista de Goiás;GO;2015;651.856,13;;;0
Bom Jardim de Goiás;GO;2015;537.449,08;;;0
Bonópolis;GO;2015;329.273,10;;;0
Brazabrantes;GO;2015;190.311,42;;;0
Buriti Alegre;GO;2015;329.273,10;;;0
Cachoeira Alta;GO;2015;1.192.264,00;;;0
Cachoeira Dourada;GO;2015;329.273,10;;;0
Campinorte;GO;2015;329.273,10;;;0
Campo Limpo de Goiás;GO;2015;321.205,00;;;0
Campos Belos;GO;2015;674.800,00;;;0
Carmo do Rio Verde;GO;2015;1.269.938,48;;;0
Catalão;GO;2015;10.828.540,00;;;0
Caturaí;GO;2015;329.273,10;;;0
Cavalcante;GO;2015;126.761,89;;;0
Ceres;GO;2015;1.058.831,12;;;0
Cezarina;GO;2015;1.030.940,00;;;0
Chapadão do Céu;GO;2015;2.621.951,08;;;0
